Sport_Category,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10
football,1,2,4,6,7,12,16,24,31,40,79,140,187,253,358,464,549,673,757,847,977,1082,1152,1277,1354,1501,1702,1833,2056,2228,2373,2506,2655,2756,2867,3045,3233,3484,3709,4067,4467,4862,5299,5729,5970,6210,6383,6709,7013,7430,7743,8266,8910,9475,9963,10412,10900,11197,11642,12229,12757,13267,13803,14873,16044,17263,18535,19577,21090,22072,23325,25087,26633,28545,30310,32478,35085,37713,40225,41944,43712,45454,47335,49469,51598,53801,56079,58931,61877,64788,67376,69942,72462,74688,77667,80403,83053,85998,88231,91276,93936,96680,99359,101832,104489,106696,109195,111843,114671,117706,120802,124559,128924,133819,138038,142087,146378,150037,153873,158219,162242,166712,170895,176138,182548,189040,195307,201534,207528,212392,217057,222497,227696,231759,236499,243427,251100,259365,267231,275346,283522,290208,297529,305319,312879,320804,328225,337410,347437,357651,367580,377156,385855,393179,401441,410377,418281,424898,432871,442885,453674,454371
basketball,1,2,3,4,4,11,15,26,31,34,35,39,44,47,53,85,96,111,187,274,395,525,602,707,758,793,863,889,916,976,1076,1141,1223,1435,1559,1641,1720,1821,1932,1995,2089,2215,2368,2546,2770,2930,3201,3360,3536,3722,3947,4205,4323,4544,4811,5143,5577,6009,6521,6952,7447,7826,8177,8520,8844,9263,10386,11239,12214,13304,14498,15313,16123,16653,17116,17593,18041,18822,19703,20800,22106,24083,25609,26688,27570,28624,29478,30049,30599,31861,33465,35101,37023,38831,41196,43191,44527,45587,46874,47688,48423,49875,51635,53821,56416,58571,61893,63978,65299,67344,69186,71613,73684,76402,79981,85147,90985,95629,101801,105148,107612,109858,112676,114520,116664,120080,125792,132324,139280,145383,152617,157054,160542,163904,167728,170853,173453,178442,185519,193855,202979,211114,220189,227247,233158,237923,243250,247530,252021,259500,268697,277935,287731,295638,304759,311343,316671,321453,325938,330176,334380,334751
wrestling,58,88,130,176,230,277,322,348,370,398,427,458,499,522,572,628,676,744,809,880,969,1045,1117,1190,1285,1372,1445,1529,1605,1674,1730,1856,1934,2018,2118,2220,2327,2484,2656,2802,2936,3071,3180,3302,3428,3527,3670,3786,4065,4285,4470,4637,4797,4965,5161,5365,5569,5816,6036,6213,6461,6702,6941,7208,7497,7755,7976,8220,8491,9013,9433,9828,10193,10601,11007,11460,11878,12403,12789,13109,13444,13817,14363,14984,15695,16118,16614,17118,17518,17965,18487,18941,19393,19806,20358,20845,21332,21684,22112,22557,23032,23463,23928,24377,24917,25434,26116,26538,27097,27858,28794,29740,30532,31279,31973,32728,33534,34582,35791,36939,38257,39335,40512,41927,43115,44415,45794,47202,48795,50087,51609,53119,54548,55909,57306,58923,60331,61997,63541,65125,67381,69100,70694,72467,74299,76187,78046,80115,81911,84284,86339,88443,90787,92875,94867,96912,98791,100677,111630,113592,115566,115715
soccer,19,23,25,26,28,31,32,37,53,57,160,312,368,462,525,556,611,676,713,740,815,856,905,1013,1124,1238,1359,1476,1564,1681,1795,1889,2005,2068,2174,2288,2458,2659,2836,2991,3157,3325,3440,3562,3680,3774,3915,4126,4358,4727,4931,5228,5439,5712,5915,6115,6449,6746,7072,7460,7820,8532,10174,11544,12708,13879,15042,16059,17303,18788,20618,22238,23621,25370,27603,29168,30781,32618,34332,35553,36835,37973,39260,40526,41971,43207,44526,46245,48002,49808,51421,53096,54811,56238,58183,59960,61725,63830,65371,67320,68935,70681,72393,74084,75919,77443,79322,81146,83240,85249,87049,89139,91420,93837,95801,97910,100355,102305,104478,106868,109346,111688,114298,117116,119921,122690,125252,128174,131153,133696,136454,139874,143291,145888,148776,152193,155658,158969,162075,165537,169149,172326,175980,179965,183898,188489,192376,196284,200259,204193,208216,212121,215881,219238,222832,226716,230434,233486,236769,240639,244642,244936
boxing,0,1,4,4,4,5,9,14,19,79,91,98,103,113,158,180,219,259,294,305,332,390,455,522,570,630,695,756,830,873,924,977,1047,1113,1177,1272,1339,1393,1496,1560,1666,1742,1846,1984,2063,2165,2350,2450,2572,2687,2806,2934,3070,3201,3370,3538,3654,3802,4007,4240,4467,4686,4941,5148,5419,5692,5939,6240,6438,6818,7109,7399,7931,8587,9057,9583,10307,11136,11845,12561,13041,13560,14469,15414,16452,17395,18166,18851,20073,21062,22044,23078,23908,24735,26244,27468,29038,29835,30854,31944,33707,35133,36456,37484,38554,39637,41245,43043,44567,46136,47452,48780,50254,51885,53550,54780,56312,57910,59745,62149,64544,66403,68204,69866,72450,74044,76484,78744,81211,83464,86537,89445,92093,95036,97935,101390,104548,107555,110531,113169,116788,120910,125620,130536,135139,139596,143420,147231,151566,156172,160619,164725,168904,172739,177341,181771,186599,191301,196253,199812,204258,204757
hockey,0,0,7,7,11,12,17,24,45,209,355,446,491,530,556,571,586,680,968,1313,1657,2012,2366,2546,2615,2668,2700,2723,2797,3104,3507,3917,4324,4722,5160,5575,5781,5951,6063,6156,6338,6778,7233,7748,8353,8750,9378,9913,10125,10323,10387,10514,10668,11343,12057,12900,13645,14433,15234,15834,16391,16736,16867,17003,17415,18781,19315,19831,20381,21014,22013,22899,23608,24037,24170,24320,24473,24653,24811,24926,25623,26766,28292,29538,30586,31152,31375,31532,32011,33021,33669,34223,34822,35177,35821,36357,36657,36937,37202,37439,37884,38456,38983,39421,39842,40359,40911,41541,42053,43675,44393,45062,45764,46788,48174,49757,51225,52472,53904,55109,56292,57629,58340,59159,60247,61561,63268,65099,66991,68804,71037,73258,74868,76117,76989,77924,79033,81525,84084,86521,89490,92378,95478,98558,101440,104015,106209,108588,111349,115353,119423,123196,126852,130533,134612,138311,141347,144218,146779,149346,152057,152262
mma,1,1,2,7,7,10,15,18,22,31,33,38,48,57,72,81,115,148,165,196,222,256,280,321,371,404,458,501,550,616,657,731,780,823,939,1091,1208,1396,1635,1965,2133,2296,2430,2681,2931,3075,3274,3530,3768,4026,4238,4482,4709,4949,5221,5510,5727,5965,6282,6609,6951,7318,7634,8073,8490,8890,9396,9844,10192,10582,11024,11518,12388,13048,13618,14194,14866,15743,16256,16940,17539,18129,18797,19555,20212,20948,21678,22227,22954,23625,24188,24903,25469,26045,27105,27634,28235,28681,29190,29733,30679,31364,32253,33046,33883,34558,35452,36478,37368,38287,39277,40178,41143,42063,43374,44665,45643,46996,48295,49746,51204,52623,54337,55792,57656,58795,60484,62473,64302,66153,68116,70256,72063,74456,77333,80311,82244,84432,86799,88874,92139,95326,98694,102413,106181,109712,113286,116364,119877,123834,127004,130034,132901,135901,139296,142128,145290,148557,160794,163435,166317,166730
golf,0,0,0,1,9,11,12,15,23,26,33,38,38,44,47,48,56,61,63,67,74,78,100,117,142,172,198,233,241,265,303,324,356,388,425,484,529,571,644,688,805,855,911,961,1011,1073,1156,1266,1334,1398,1464,1529,1587,1647,1696,1743,1795,1868,1989,2076,2183,2318,2460,2547,2672,2742,2853,2914,3012,3105,3227,3347,3442,3537,3666,3820,3925,4000,4093,4180,4302,4418,4594,4759,4958,5233,5460,5800,5943,6199,6316,6436,6614,6965,7230,7499,7838,8115,8415,8686,8909,9057,9253,9498,9937,10477,11104,11638,12239,12759,13365,14070,14708,15323,15787,16180,16701,17330,18156,18746,19495,20165,20794,21395,21946,22452,22874,23269,23758,24245,24791,25355,25953,26638,27258,27943,28577,29194,29687,30110,30656,31204,31824,32306,33218,34120,35053,36243,37238,38304,39351,40193,41216,42270,43384,44541,45609,46893,48348,49650,50760,50850
baseball,1,1,1,1,1,1,3,4,6,7,15,19,22,22,25,51,54,64,68,81,106,125,154,179,226,267,300,317,331,348,356,379,407,443,497,556,604,681,753,801,857,904,955,994,1029,1071,1127,1228,1372,1484,1535,1587,1627,1687,1736,1756,1790,1872,1987,2090,2193,2276,2357,2443,2504,2571,2619,2670,2738,2864,3034,3211,3398,3534,3645,3744,3863,4045,4136,4243,4359,4574,4893,5140,5447,5608,5745,5897,5979,6071,6135,6185,6260,6393,6577,6887,7302,7634,8047,8243,8406,8635,8997,9249,9392,9486,9637,9949,10285,11025,11794,12583,13325,14064,14751,15487,16460,17295,18256,19486,20780,22047,23259,24611,25866,27028,27974,29063,30054,31050,32196,33677,35442,37041,38553,39968,41229,42817,44205,45386,47112,48838,51089,53916,57419,60695,64823,69898,74349,78581,82705,85305,88302,90802,94044,97835,101350,104678,108116,111603,114913,115142
tennis,4,6,6,6,14,14,15,15,33,43,45,52,52,62,64,74,114,133,151,163,210,225,239,267,304,313,342,415,464,513,552,586,660,822,973,1119,1221,1376,1481,1590,1775,1898,2025,2113,2231,2398,2621,3099,3317,3427,3570,3790,4026,4217,4472,4545,4665,4804,5013,5252,5464,5614,5955,6243,6490,6723,7124,7260,7473,7671,7972,8223,8492,8744,8966,9207,9439,9718,10066,10208,10462,10814,11043,11301,11599,11826,12006,12209,12467,12744,12928,13067,13282,13507,13705,13939,14141,14400,14552,14771,14964,15154,15368,15512,16416,16656,17047,17242,17389,17677,17923,18186,18384,18710,18902,19087,19544,19920,20435,20741,21197,21695,22031,22322,22752,23191,23562,23711,25146,25622,26323,26873,27445,28130,29137,29847,30279,30951,31589,31963,33809,34462,35369,35938,36721,37437,38228,38963,39588,40160,40704,41104,43203,43663,44587,45203,46161,46944,48096,49057,49775,49826
