Sports,Frequency
football,1314880
basketball,711920
wrestling,502493
soccer,439949
boxing,425606
hockey,328069
golf,255326
baseball,228480
tennis,200494
cricket,191857
rugby,129427
cycling,90462
volleyball,89147
skating,87198
athletics,81822
table tennis,46909
badminton,36420
swimming,36320
snooker,15718
